貸借対照表（投資信託受益証券）,,,,,,,,,,,,,,,,,,,,,,
科目分類,標準ラベル（日本語）,冗長ラベル（日本語）,用途別ラベル（日本語）,業種ラベル（日本語）,連結,四半期個別,四半期連結,中間個別,中間連結,標準ラベル（英語）,用途別ラベル（英語）,業種ラベル（英語）,名前空間プレフィックス,要素名,type,enumerations,substitutionGroup,periodType,balance,abstract,nillable,depth
A,未収配当金,未収配当金、流動資産、投資信託,,,,,,,,Accrued dividend receivable,,,jpfr-t-fnd,AccruedDividendReceivableCAFND,xbrli:monetaryItemType,,xbrli:item,instant,debit,false,true,3
A,未収利息,未収利息,,,,,,,,Accrued interest,,,jpfr-t-cte,AccruedInterest,xbrli:monetaryItemType,,xbrli:item,instant,debit,false,true,3
A,前払金,前払金、流動資産、投資信託,,,,,,,,Advance payments,,,jpfr-t-fnd,AdvancePaymentsCAFND,xbrli:monetaryItemType,,xbrli:item,instant,debit,false,true,3
A,前払費用,前払費用,,,,,,,,Prepaid expenses,,,jpfr-t-cte,PrepaidExpenses,xbrli:monetaryItemType,,xbrli:item,instant,debit,false,true,3
A,その他未収収益,その他未収収益、流動資産、投資信託,,,,,,,,Other accrued revenue,,,jpfr-t-fnd,OtherAccruedRevenueCAFND,xbrli:monetaryItemType,,xbrli:item,instant,debit,false,true,3
A,差入保証金,差入保証金、流動資産、投資信託,,,,,,,,Guarantee deposits,,,jpfr-t-fnd,GuaranteeDepositsCAFND,xbrli:monetaryItemType,,xbrli:item,instant,debit,false,true,3
A,差入委託証拠金,差入委託証拠金、流動資産、投資信託,,,,,,,,Customers' margin,,,jpfr-t-fnd,CustomersMarginCAFND,xbrli:monetaryItemType,,xbrli:item,instant,debit,false,true,3
A,その他の金融商品,その他の金融商品、流動資産、投資信託,,,,,,,,Other financial instruments,,,jpfr-t-fnd,OtherFinancialInstrumentsCAFND,xbrli:monetaryItemType,,xbrli:item,instant,debit,false,true,3
A,優先出資証券,優先出資証券、流動資産、投資信託,,,,,,,,Preferred securities,,,jpfr-t-fnd,PreferredSecuritiesCAFND,xbrli:monetaryItemType,,xbrli:item,instant,debit,false,true,3
A,優先出資引受権証書,優先出資引受権証書、流動資産、投資信託,,,,,,,,Preferred securities on deeds,,,jpfr-t-fnd,PreferredSecuritiesOnDeedsCAFND,xbrli:monetaryItemType,,xbrli:item,instant,debit,false,true,3
A,想定元本受取資産,想定元本受取資産、流動資産、投資信託,,,,,,,,Notional principal receivable assets,,,jpfr-t-fnd,NotionalPrincipalReceivableAssetsCAFND,xbrli:monetaryItemType,,xbrli:item,instant,debit,false,true,3
A,想定元本支払負債見合,想定元本支払負債見合、流動資産、投資信託,,,,,,,,Corresponding account of notional principal payable liability,,,jpfr-t-fnd,CorrespondingAccountOfNotionalPrincipalPayableLiabilityCAFND,xbrli:monetaryItemType,,xbrli:item,instant,debit,false,true,3
A,貸付有価証券,貸付有価証券、流動資産、投資信託,,,,,,,,Securities loaned,,,jpfr-t-fnd,SecuritiesLoanedCAFND,xbrli:monetaryItemType,,xbrli:item,instant,debit,false,true,3
A,借入取引有価証券,借入取引有価証券、流動資産、投資信託,,,,,,,,Borrowing trade securities,,,jpfr-t-fnd,BorrowingTradeSecuritiesCAFND,xbrli:monetaryItemType,,xbrli:item,instant,debit,false,true,3
A,先物取引買勘定,先物取引買勘定、流動資産、投資信託,,,,,,,,Purchase account of futures markets,,,jpfr-t-fnd,PurchaseAccountOfFuturesMarketsCAFND,xbrli:monetaryItemType,,xbrli:item,instant,debit,false,true,3
A,為替未収入金,為替未収入金、流動資産、投資信託,,,,,,,,Accounts receivable-foreign exchange,,,jpfr-t-fnd,AccountsReceivableForeignExchangeCAFND,xbrli:monetaryItemType,,xbrli:item,instant,debit,false,true,3
A,買為替,買為替、流動資産、投資信託,,,,,,,,Purchase-foreign exchange,,,jpfr-t-fnd,PurchaseForeignExchangeCAFND,xbrli:monetaryItemType,,xbrli:item,instant,debit,false,true,3
A,先物取引未収入金,先物取引未収入金、流動資産、投資信託,,,,,,,,Accounts receivable-futures markets,,,jpfr-t-fnd,AccountsReceivableFuturesMarketsCAFND,xbrli:monetaryItemType,,xbrli:item,instant,debit,false,true,3
A,受入担保金代用有価証券,受入担保金代用有価証券、流動資産、投資信託,,,,,,,,Securities received as customers' deposits for cash collateral received,,,jpfr-t-fnd,SecuritiesReceivedAsCustomersDepositsForCashCollateralReceivedCAFND,xbrli:monetaryItemType,,xbrli:item,instant,debit,false,true,3
A,外国投資勘定,外国投資勘定、流動資産、投資信託,,,,,,,,Foreign investment accounts,,,jpfr-t-fnd,ForeignInvestmentAccountsCAFND,xbrli:monetaryItemType,,xbrli:item,instant,debit,false,true,3
